Year,Make,Model,Condition,Price,Consumer_Rating,Consumer_Review_#,Exterior_Color,Interior_Color,Drivetrain,MPG,Fuel_Type,Transmission,Engine,VIN,Stock_#,Mileage,Comfort_Rating,Interior_Design_Rating,Performance_Rating,Value_For_Money_Rating,Exterior_Styling_Rating,Reliability_Rating,State,Seller_Type
2023,Honda,Odyssey Sport,New,"$43,161 ",4.8,1125,Sonic Gray Pearl,Black,Front-wheel Drive,19–28,Gasoline,Automatic,Regular Unleaded V-6 3.5 L/212,5FNRL6H72PB036822,PB036822,1,5,5,4,4,4,5,FL,Dealer
2023,Honda,Ridgeline RTL,New,"$43,075 ",4.7,436,Crystal Black Pearl,Black,All-wheel Drive,18–24,Gasoline,9-SPEED A/T,V6 Cylinder Engine,5FPYK3F56PB015963,T15963,5,5,4.8,4.8,4.2,5,5,IL,Dealer
2023,Honda,Odyssey Sport,New,"$43,050 ",4.4,663,Radiant Red Metallic II,Black,Front-wheel Drive,19–28,Gasoline,Automatic,Regular Unleaded V-6 3.5 L/212,5FNRL6H72PB025304,HCPB025304,5,5,5,4,4,4,5,VA,Dealer
2023,Honda,CR-V EX-L,New,"$42,895 ",5,292,Radiant Red Metallic,Gray,All-wheel Drive,27–32,Gasoline,CVT,4 Cylinder Engine,2HKRS4H78PH401626,H1286,2,5,5,5,4,4,5,CA,Dealer
2023,Honda,CR-V Hybrid Sport Touring,New,"$40,985 ",3.1,134,Still Night Pearl,B-575p/Black,All-wheel Drive,40–34,Hybrid,Variable,Gas/Electric I-4 2.0 L/122,2HKRS6H98PH800808,CH1060,10,5,3,4,4,5,5,IL,Dealer
2023,Honda,CR-V Hybrid Sport Touring,New,"$40,850 ",4.9,435,Gray,Black,All-wheel Drive,40–34,Hybrid,electronic continuously variable,4 Cylinder Engine,2HKRS6H90PH806831,H806831,5,5,3,4,4,5,5,MA,Dealer
2023,Honda,CR-V Hybrid Sport Touring,New,"$40,850 ",4.9,435,White,Gray,All-wheel Drive,40–34,Hybrid,electronic continuously variable,4 Cylinder Engine,7FARS6H94PE003653,H003653,21,5,3,4,4,5,5,MA,Dealer
2023,Honda,CR-V Hybrid Sport Touring,New,"$40,382 ",3.8,596,Canyon River Blue Metallic,Black,All-wheel Drive,40–34,Hybrid,Variable,Gas/Electric I-4 2.0 L/122,7FARS6H90PE002354,8BH737N,6,5,3,4,4,5,5,MN,Dealer
2023,Honda,CR-V Hybrid Sport Touring,New,"$40,240 ",4.4,306,Radiant Red Metallic,Black,All-wheel Drive,40–34,Hybrid,eCVT,4 Cylinder Engine,2HKRS6H90PH801337,233006,10,5,3,4,4,5,5,MI,Dealer
2023,Honda,CR-V Hybrid Sport Touring,New,"$40,240 ",4.9,435,Gray,NH-912P/BLACK,All-wheel Drive,40–34,Hybrid,electronic continuously variable,4 Cylinder Engine,2HKRS6H9XPH801071,H801071,6,5,3,4,4,5,5,MA,Dealer
2023,Honda,CR-V Hybrid Sport Touring,New,"$40,240 ",4.9,1737,Still Night Pearl,Black,All-wheel Drive,40–34,Hybrid,Variable,Gas/Electric I-4 2.0 L/122,2HKRS6H92PH800819,Q00819,14,5,3,4,4,5,5,NC,Dealer
2023,Honda,CR-V Hybrid Sport Touring,New,"$40,240 ",4.4,14,White,Black,All-wheel Drive,40–34,Hybrid,electronic continuously variable,4 Cylinder Engine,2HKRS6H97PH800492,H23037,12,5,3,4,4,5,5,WI,Dealer
2023,Honda,CR-V Hybrid Sport Touring,New,"$40,240 ",4.7,436,Platinum White Pearl,Gray,All-wheel Drive,40–34,Hybrid,electronic continuously variable,4 Cylinder Engine,2HKRS6H99PH800686,R19362,17,5,3,4,4,5,5,IL,Dealer
2023,Honda,CR-V Hybrid Sport Touring,New,"$40,240 ",4.1,1498,Platinum White Pearl,Gray,All-wheel Drive,40–34,Hybrid,Variable,Gas/Electric I-4 2.0 L/122,2HKRS6H97PH800654,52031,5,5,3,4,4,5,5,NJ,Dealer
2023,Honda,CR-V Hybrid Sport Touring,New,"$40,239 ",4.4,5,Platinum White Pearl,Black,All-wheel Drive,40–34,Hybrid,electronic continuously variable,4 Cylinder Engine,2HKRS6H94PH800174,23023,7,5,3,4,4,5,5,OK,Dealer
2023,Honda,CR-V Hybrid Sport Touring,New,"$39,845 ",4.2,1578,Still Night Pearl,Black,All-wheel Drive,40–34,Hybrid,Variable,Gas/Electric I-4 2.0 L/122,A014128300033,A014128300033,5,5,3,4,4,5,5,NJ,Dealer
2023,Honda,CR-V Hybrid Sport Touring,New,"$39,395 ",3.9,161,Meteorite Gray Metallic,Black,All-wheel Drive,40–34,Hybrid,Variable,Gas/Electric I-4 2.0 L/122,2HKRS6H96PH807661,62537,10,5,3,4,4,5,5,WI,Dealer
2023,Honda,CR-V Hybrid Sport Touring,New,"$39,240 ",3.9,161,Radiant Red Metallic,Black,All-wheel Drive,40–34,Hybrid,Variable,Gas/Electric I-4 2.0 L/122,7FARS6H91PE001424,62431,10,5,3,4,4,5,5,WI,Dealer
2023,Honda,CR-V Hybrid Sport Touring,New,"$39,240 ",3.9,161,Radiant Red Metallic,Black,All-wheel Drive,40–34,Hybrid,Variable,Gas/Electric I-4 2.0 L/122,7FARS6H97PE003114,62476,1,5,3,4,4,5,5,WI,Dealer
2023,Honda,CR-V EX,New,"$38,350 ",5,292,Canyon River Blue Metallic,B-640m/Black,Front-wheel Drive,28–34,Gasoline,continuously variable automatic,4 Cylinder Engine,7FARS3H44PE003560,H1413,6,5,5,5,4,4,5,CA,Dealer
2023,Honda,CR-V EX-L,New,"$37,510 ",5,1026,Radiant Red Metallic,Gray,All-wheel Drive,27–32,Gasoline,Variable,Intercooled Turbo Regular Unleaded I-4 1.5 L/91,2HKRS4H76PH411846,2CR1873,10,5,5,5,4,4,5,IN,Dealer
2023,Honda,CR-V EX-L,New,"$37,055 ",5,1026,Meteorite Gray Metallic,Black,All-wheel Drive,27–32,Gasoline,Variable,Intercooled Turbo Regular Unleaded I-4 1.5 L/91,7FARS4H76PE014320,2CR1933,10,5,5,5,4,4,5,IN,Dealer
2023,Honda,CR-V EX-L,New,"$36,900 ",4.7,178,Still Night Pearl,Black,All-wheel Drive,27–32,Gasoline,continuously variable automatic,4 Cylinder Engine,2HKRS4H76PH400569,23-0048,12,5,5,5,4,4,5,MO,Dealer
2023,Honda,CR-V EX-L,New,"$36,899 ",4.7,5,Still Night Pearl,Black,All-wheel Drive,27–32,Gasoline,continuously variable automatic,4 Cylinder Engine,2HKRS4H76PH405979,23024,5,5,5,5,4,4,5,OK,Dealer
2023,Honda,CR-V EX-L,New,"$36,505 ",4.7,306,Lunar Silver Metallic,Blk Lth,All-wheel Drive,27–32,Gasoline,CVT,4 Cylinder Engine,2HKRS4H76PH402211,233001,71,5,5,5,4,4,5,MI,Dealer
2023,Honda,CR-V EX-L,New,"$36,505 ",4.9,435,Gray,NH-904M/BLACK,All-wheel Drive,27–32,Gasoline,continuously variable automatic,4 Cylinder Engine,2HKRS4H75PH400966,H400966,6,5,5,5,4,4,5,MA,Dealer
2023,Honda,CR-V EX-L,New,"$36,504 ",4.7,5,Crystal Black Pearl,Gray,All-wheel Drive,27–32,Gasoline,continuously variable automatic,4 Cylinder Engine,2HKRS4H79PH400825,23011,2,5,5,5,4,4,5,OK,Dealer
2023,Honda,CR-V Hybrid Sport,New,"$36,200 ",4.8,3335,Urban Gray Pearl,Black,All-wheel Drive,40–34,Hybrid,Variable,Gas/Electric I-4 2.0 L/122,7FARS6H53PE003494,QG23504,9,5,3,4,4,5,5,GA,Dealer
2023,Honda,CR-V EX-L,New,"$36,010 ",4.7,344,Platinum White Pearl,Gray,Front-wheel Drive,28–34,Gasoline,continuously variable automatic,4 Cylinder Engine,2HKRS3H72PH302505,PH302505,5,5,5,5,4,4,5,TN,Dealer
2023,Honda,CR-V Hybrid Sport,New,"$35,745 ",4.9,435,Gray,Black,All-wheel Drive,40–34,Hybrid,electronic continuously variable,4 Cylinder Engine,2HKRS6H52PH807508,H807508,5,5,3,4,4,5,5,MA,Dealer
2023,Honda,CR-V EX-L,Used,"$35,562 ",5,2857,Radiant Red Metallic,Gray,All-wheel Drive,27–32,Gasoline,CVT,4 Cylinder Engine,5J6RS4H79PL001676,L32622B,2582,5,5,5,4,4,5,SC,Dealer
2023,Honda,CR-V EX,New,"$34,405 ",4.5,1020,Crystal Black Pearl,Gray,All-wheel Drive,27–32,Gasoline,Variable,Intercooled Turbo Regular Unleaded I-4 1.5 L/91,7FARS4H45PE013682,30270,3,5,5,5,4,4,5,IL,Dealer
2023,Honda,CR-V EX,New,"$34,250 ",4.7,306,Gray,Blk Clth,All-wheel Drive,27–32,Gasoline,CVT,4 Cylinder Engine,7FARS4H46PE001864,233003,4,5,5,5,4,4,5,MI,Dealer
2023,Honda,CR-V EX,New,"$34,250 ",5,1026,Platinum White Pearl,Gray,All-wheel Drive,27–32,Gasoline,Variable,Intercooled Turbo Regular Unleaded I-4 1.5 L/91,2HKRS4H46PH411254,2CR1613,10,5,5,5,4,4,5,IN,Dealer
2023,Honda,CR-V EX,New,"$34,250 ",5,1026,Still Night Pearl,Black,All-wheel Drive,27–32,Gasoline,Variable,Intercooled Turbo Regular Unleaded I-4 1.5 L/91,7FARS4H49PE012194,2CR1593,10,5,5,5,4,4,5,IN,Dealer
2023,Honda,CR-V EX,New,"$34,250 ",4.4,663,Radiant Red Metallic,Gray,All-wheel Drive,27–32,Gasoline,Variable,Intercooled Turbo Regular Unleaded I-4 1.5 L/91,7FARS4H49PE007805,HCPE007805,5,5,5,5,4,4,5,VA,Dealer
2023,Honda,CR-V Hybrid Sport,New,"$34,089 ",4.4,5,Platinum White Pearl,Black,Front-wheel Drive,43–36,Hybrid,electronic continuously variable,4 Cylinder Engine,2HKRS5H54PH700891,23029,2,5,3,4,4,5,5,OK,Dealer
2023,Honda,CR-V EX,New,"$32,855 ",3.9,161,Canyon River Blue Metallic,Black,All-wheel Drive,27–32,Gasoline,Variable,Intercooled Turbo Regular Unleaded I-4 1.5 L/91,7FARS4H46PE011486,62455,1,5,5,5,4,4,5,WI,Dealer
2023,Honda,HR-V Sport,New,"$29,614 ",3.8,596,Platinum White Pearl,Black,All-wheel Drive,25–30,Gasoline,Variable,Regular Unleaded I-4 2.0 L/122,3CZRZ2H56PM725838,8BH525N,6,4,5,4,5,5,5,MN,Dealer
2023,Honda,HR-V Sport,New,"$29,040 ",4.7,436,Platinum White Pearl,Nh-883p/Black,All-wheel Drive,25–30,Gasoline,continuously variable (m cvt),4 Cylinder Engine,3CZRZ2H58PM727784,K727784,4,4,5,4,5,5,5,IL,Dealer
2023,Honda,HR-V Sport,New,"$29,039 ",4.6,5,Platinum White Pearl,Black,All-wheel Drive,25–30,Gasoline,continuously variable (m cvt),4 Cylinder Engine,3CZRZ2H52PM722919,23027,16,4,5,4,5,5,5,OK,Dealer
2023,Honda,HR-V Sport,New,"$28,790 ",4.9,435,Urban Gray Pearl,Black,All-wheel Drive,25–30,Gasoline,continuously variable (m cvt),4 Cylinder Engine,3CZRZ2H5XPM700666,H700666,6,4,5,4,5,5,5,MA,Dealer
2023,Honda,HR-V Sport,New,"$27,144 ",4.6,5,Crystal Black Pearl,Black,Front-wheel Drive,26–32,Gasoline,continuously variable (m cvt),4 Cylinder Engine,3CZRZ1H55PM719216,23020,5,4,5,4,5,5,5,OK,Dealer
2023,Honda,HR-V LX,New,"$25,045 ",5,1026,Modern Steel Metallic,Gray,Front-wheel Drive,26–32,Gasoline,Variable,Regular Unleaded I-4 2.0 L/122,3CZRZ1H36PM726982,2HR1323,10,4,5,4,5,5,5,IN,Dealer
2023,Honda,HR-V LX,New,"$24,894 ",4.6,5,Modern Steel Metallic,Black,Front-wheel Drive,26–32,Gasoline,continuously variable (m cvt),4 Cylinder Engine,3CZRZ1H30PM708249,23007,12,4,5,4,5,5,5,OK,Dealer
2022,Honda,Pilot Black Edition,New,"$53,560 ",4.2,1147,Sonic Gray Pearl,Black,All-wheel Drive,19–26,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H7XNB102940,H221661,14,5,5,5,5,5,5,VA,Dealer
2022,Honda,Pilot Black Edition,New,"$53,560 ",2.8,1046,White Pearl,Black,All-wheel Drive,19–26,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H74NB078098,4NB078098,6,5,5,5,5,5,5,OH,Dealer
2022,Honda,Pilot Black Edition,New,"$53,560 ",4.2,231,Sonic Gray Pearl,Black,All-wheel Drive,19–26,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H71NB102924,2221128H,2,5,5,5,5,5,5,VA,Dealer
2022,Honda,Pilot Black Edition,New,"$53,560 ",4.7,739,Sonic Gray Pearl,Black,All-wheel Drive,19–26,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H77NB085143,C17577,2,5,5,5,5,5,5,IL,Dealer
2022,Honda,Pilot Black Edition,New,"$53,560 ",4.4,736,Crystal Black Pearl,Black,All-wheel Drive,19–26,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H77NB085157,102270T,14,5,5,5,5,5,5,CA,Dealer
2022,Honda,Ridgeline Black Edition,New,"$53,345 ",4.6,985,Crystal Black Pearl,Black,All-wheel Drive,18–24,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FPYK3F81NB031947,2B0967,5596,5,4.9,4.9,4.3,4.7,5,CO,Dealer
2022,Honda,Pilot Black Edition,New,"$53,165 ",4.8,1438,Crystal,Black,All-wheel Drive,19–26,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H75NB088218,H221119,6,5,5,5,5,5,5,FL,Dealer
2022,Honda,Pilot Black Edition,New,"$53,165 ",4.8,1978,Crystal,Black,All-wheel Drive,19–26,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H7XNB078624,22797,4,5,5,5,5,5,5,IL,Dealer
2022,Honda,Pilot Elite,New,"$52,060 ",4.1,412,Platinum White Pearl,Black,All-wheel Drive,19–26,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H07NB083525,NH5224,7,5,5,5,5,5,5,GA,Dealer
2022,Honda,Pilot Elite,New,"$52,060 ",4.9,6788,Platinum White Pearl,Beige,All-wheel Drive,19–26,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H04NB088598,913027,21,5,5,5,5,5,5,FL,Dealer
2022,Honda,Pilot Elite,New,"$52,060 ",4.7,376,Platinum White Pearl,Black,All-wheel Drive,19–26,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H08NB098616,59923,4,5,5,5,5,5,5,CA,Dealer
2022,Honda,Pilot Elite,New,"$52,060 ",4.9,273,Platinum White Pearl,Black,All-wheel Drive,19–26,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H07NB088532,NB088532,10,5,5,5,5,5,5,TX,Dealer
2022,Honda,Pilot Elite,New,"$52,060 ",5,7833,Platinum White Pearl,Black,All-wheel Drive,19–26,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H03NB059559,S1874,7422,5,5,5,5,5,5,NY,Dealer
2022,Honda,Pilot Black Edition,New,"$51,998 ",5,7,Sonic Gray Pearl,Black,All-wheel Drive,19–26,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H74NB090056,H22074,3,5,5,5,5,5,5,CA,Dealer
2022,Honda,Pilot Black Edition,New,"$51,845 ",4.7,3094,Platinum White Pearl,Black,All-wheel Drive,19–26,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H75NB015320,S15320,11,5,5,5,5,5,5,FL,Dealer
2022,Honda,Pilot Elite,New,"$51,665 ",4.8,1043,Crystal Black Pearl,Black,All-wheel Drive,19–26,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H09NB079816,29132,5303,5,5,5,5,5,5,OH,Dealer
2022,Honda,Pilot Elite,New,"$51,665 ",5,580,Crystal Black,Black,All-wheel Drive,19–26,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H06NB066733,21733,12,5,5,5,5,5,5,OH,Dealer
2022,Honda,Pilot Elite,New,"$51,664 ",5,5,Modern Steel Metallic,Black,All-wheel Drive,19–26,Gasoline,9-SPEED A/T,V6 Cylinder Engine,5FNYF6H02NB086039,22029,4,5,5,5,5,5,5,OK,Dealer
2022,Honda,Ridgeline RTL-E,New,"$51,390 ",3.9,719,Pacific Pewter Metallic,Black,All-wheel Drive,18–24,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FPYK3F74NB017094,2517094,8,5,4.9,4.9,4.3,4.7,5,CA,Dealer
2022,Honda,Passport Elite,New,"$50,907 ",4.9,2,Crystal Black Pearl,Black,All-wheel Drive,19–24,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF8H01NB031223,BN64,19,5,5,4.9,5,4.9,5,WY,Dealer
2022,Honda,Passport TrailSport,New,"$50,705 ",4.9,1,Crystal Black Pearl,Black,All-wheel Drive,19–24,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF8H62NB032739,N11279,1,5,5,4.9,5,4.9,5,NC,Dealer
2022,Honda,Passport Elite,New,"$50,125 ",5,5663,Black,Black,All-wheel Drive,19–24,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF8H07NB016984,B016984,1,5,5,4.9,5,4.9,5,KY,Dealer
2022,Honda,Pilot TrailSport,New,"$49,500 ",5,1047,Gray,Black,All-wheel Drive,19–25,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H83NB103159,H50327,5,5,5,5,5,5,5,PA,Dealer
2022,Honda,Passport Elite,New,"$49,413 ",4.9,333,Crystal Black Pearl,Black,All-wheel Drive,19–24,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF8H07NB028097,78634,6,5,5,4.9,5,4.9,5,NV,Dealer
2022,Honda,Pilot TrailSport,New,"$49,305 ",5,20,Black,Black,All-wheel Drive,19–25,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H88NB084592,HO7467,9,5,5,5,5,5,5,NC,Dealer
2022,Honda,Ridgeline Black Edition,New,"$49,260 ",4.7,64,Platinum White Pearl,Black,All-wheel Drive,18–24,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FPYK3F8XNB027993,L220529,8702,5,4.9,4.9,4.3,4.7,5,IN,Dealer
2022,Honda,Ridgeline Black Edition,New,"$49,260 ",4.7,64,Platinum White Pearl,Black,All-wheel Drive,18–24,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FPYK3F83NB030914,L220556,4,5,4.9,4.9,4.3,4.7,5,IN,Dealer
2022,Honda,Pilot Touring 8-Passenger,New,"$48,860 ",5,14,White,Black,All-wheel Drive,19–26,Gasoline,9-SPEED A/T,V6 Cylinder Engine,5FNYF6H62NB099796,H22660,2,5,5,5,5,5,5,WI,Dealer
2022,Honda,Pilot Touring 7-Passenger,New,"$48,860 ",5,1337,Deep Scarlet Pearl,Beige,All-wheel Drive,19–26,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H63NB096969,H221764,1,5,5,5,5,5,5,MA,Dealer
2022,Honda,Pilot Touring 7-Passenger,New,"$48,860 ",5,1551,Platinum White Pearl,Beige,All-wheel Drive,19–26,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H60NB098517,220724,10,5,5,5,5,5,5,NE,Dealer
2022,Honda,Pilot Touring 7-Passenger,New,"$48,860 ",4.2,40,Platinum White,Black,All-wheel Drive,19–26,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H66NB091197,Y220674,13,5,5,5,5,5,5,OH,Dealer
2022,Honda,Pilot Touring 7-Passenger,New,"$48,860 ",4.4,878,Platinum White Pearl,Beige,All-wheel Drive,19–26,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H65NB095676,40924-04,10,5,5,5,5,5,5,VA,Dealer
2022,Honda,Pilot Touring 7-Passenger,New,"$48,860 ",4.7,739,Deep Scarlet Pearl,Beige,All-wheel Drive,19–26,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H60NB081216,C17550,5,5,5,5,5,5,5,IL,Dealer
2022,Honda,Pilot Touring 7-Passenger,New,"$48,860 ",4.7,739,Deep Scarlet Pearl,Beige,AWD,19–26,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H6XNB094894,C17629,1,5,5,5,5,5,5,IL,Dealer
2022,Honda,Pilot Touring 7-Passenger,New,"$48,860 ",5,2352,Deep Scarlet Pearl,Beige,All-wheel Drive,19–26,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H62NB101191,N5525,1,5,5,5,5,5,5,MN,Dealer
2022,Honda,Pilot Touring 7-Passenger,New,"$48,860 ",4.8,162,Gray,Black,All-wheel Drive,19–26,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H69NB101009,18507,2,5,5,5,5,5,5,KY,Dealer
2022,Honda,Pilot Touring 7-Passenger,New,"$48,860 ",4.2,389,Platinum White Pearl,Black,All-wheel Drive,19–26,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H6XNB091123,221712,10,5,5,5,5,5,5,NY,Dealer
2022,Honda,Pilot Touring 8-Passenger,New,"$48,859 ",5,5,Platinum White Pearl,Beige,All-wheel Drive,19–26,Gasoline,9-SPEED A/T,V6 Cylinder Engine,5FNYF6H68NB075910,22012,4,5,5,5,5,5,5,OK,Dealer
2022,Honda,Pilot Touring 7-Passenger,New,"$48,465 ",4.4,124,Crystal Black Pearl,Black,All-wheel Drive,19–26,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H66NB083990,NB083990,3,5,5,5,5,5,5,PA,Dealer
2022,Honda,Pilot Touring 7-Passenger,New,"$48,465 ",5,1337,Modern Steel Metallic,Black,All-wheel Drive,19–26,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H63NB093957,H221732,5,5,5,5,5,5,5,MA,Dealer
2022,Honda,Pilot Touring 7-Passenger,New,"$48,465 ",4.7,5360,Crystal Black Pearl,Black,All-wheel Drive,19–26,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H60NB100721,22-0990,9,5,5,5,5,5,5,OH,Dealer
2022,Honda,Pilot Touring 7-Passenger,New,"$48,465 ",2.1,187,Crystal Black Pearl,Black,All-wheel Drive,19–26,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H62NB091911,5891911,12,5,5,5,5,5,5,MA,Dealer
2022,Honda,Pilot Touring 7-Passenger,New,"$48,465 ",4.4,124,Crystal Black Pearl,Black,All-wheel Drive,19–26,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H62NB083954,NB083954,3,5,5,5,5,5,5,PA,Dealer
2022,Honda,Pilot TrailSport,New,"$48,105 ",4.7,64,Crystal Black Pearl,Black,All-wheel Drive,19–25,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H81NB096843,L220673,4,5,5,5,5,5,5,IN,Dealer
2022,Honda,Ridgeline RTL-E,New,"$48,060 ",4.8,6,Sonic Gray Pearl,Black,All-wheel Drive,18–24,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FPYK3F79NB036319,W7100,5,5,4.9,4.9,4.3,4.7,5,NE,Dealer
2022,Honda,Pilot EX-L,New,"$47,995 ",5,292,Platinum White Pearl,Beige,Front-wheel Drive,20–27,Gasoline,9-SPEED A/T,V6 Cylinder Engine,5FNYF5H56NB037996,H1382,5,5,5,5,5,5,5,CA,Dealer
